column,row,field,channel,rel_fp
B,8,2,2,MFGTMP_220411120001/MFGTMP_220411120001_B08f02d2.TIF
E,8,7,1,MFGTMP_220411120001/MFGTMP_220411120001_E08f07d1.TIF
E,9,7,1,MFGTMP_220411120001/MFGTMP_220411120001_E09f07d1.TIF
B,9,2,2,MFGTMP_220411120001/MFGTMP_220411120001_B09f02d2.TIF
D,6,0,2,MFGTMP_220411120001/MFGTMP_220411120001_D06f00d2.TIF
C,6,5,1,MFGTMP_220411120001/MFGTMP_220411120001_C06f05d1.TIF
C,11,3,1,MFGTMP_220411120001/MFGTMP_220411120001_C11f03d1.TIF
D,11,6,2,MFGTMP_220411120001/MFGTMP_220411120001_D11f06d2.TIF
C,7,5,1,MFGTMP_220411120001/MFGTMP_220411120001_C07f05d1.TIF
D,7,0,2,MFGTMP_220411120001/MFGTMP_220411120001_D07f00d2.TIF
D,10,6,2,MFGTMP_220411120001/MFGTMP_220411120001_D10f06d2.TIF
C,10,3,1,MFGTMP_220411120001/MFGTMP_220411120001_C10f03d1.TIF
E,2,1,4,MFGTMP_220411120001/MFGTMP_220411120001_E02f01d4.TIF
G,9,6,3,MFGTMP_220411120001/MFGTMP_220411120001_G09f06d3.TIF
E,3,1,4,MFGTMP_220411120001/MFGTMP_220411120001_E03f01d4.TIF
G,8,6,3,MFGTMP_220411120001/MFGTMP_220411120001_G08f06d3.TIF
B,7,8,0,MFGTMP_220411120001/MFGTMP_220411120001_B07f08d0.TIF
F,10,7,0,MFGTMP_220411120001/MFGTMP_220411120001_F10f07d0.TIF
F,7,1,0,MFGTMP_220411120001/MFGTMP_220411120001_F07f01d0.TIF
B,6,8,0,MFGTMP_220411120001/MFGTMP_220411120001_B06f08d0.TIF
F,11,7,0,MFGTMP_220411120001/MFGTMP_220411120001_F11f07d0.TIF
F,6,1,0,MFGTMP_220411120001/MFGTMP_220411120001_F06f01d0.TIF
G,3,2,4,MFGTMP_220411120001/MFGTMP_220411120001_G03f02d4.TIF
E,8,5,3,MFGTMP_220411120001/MFGTMP_220411120001_E08f05d3.TIF
B,8,0,0,MFGTMP_220411120001/MFGTMP_220411120001_B08f00d0.TIF
B,9,0,0,MFGTMP_220411120001/MFGTMP_220411120001_B09f00d0.TIF
G,2,2,4,MFGTMP_220411120001/MFGTMP_220411120001_G02f02d4.TIF
E,9,5,3,MFGTMP_220411120001/MFGTMP_220411120001_E09f05d3.TIF
G,11,8,3,MFGTMP_220411120001/MFGTMP_220411120001_G11f08d3.TIF
D,11,4,0,MFGTMP_220411120001/MFGTMP_220411120001_D11f04d0.TIF
C,11,1,3,MFGTMP_220411120001/MFGTMP_220411120001_C11f01d3.TIF
C,6,7,3,MFGTMP_220411120001/MFGTMP_220411120001_C06f07d3.TIF
D,6,2,0,MFGTMP_220411120001/MFGTMP_220411120001_D06f02d0.TIF
G,10,8,3,MFGTMP_220411120001/MFGTMP_220411120001_G10f08d3.TIF
C,10,1,3,MFGTMP_220411120001/MFGTMP_220411120001_C10f01d3.TIF
D,10,4,0,MFGTMP_220411120001/MFGTMP_220411120001_D10f04d0.TIF
D,7,2,0,MFGTMP_220411120001/MFGTMP_220411120001_D07f02d0.TIF
C,7,7,3,MFGTMP_220411120001/MFGTMP_220411120001_C07f07d3.TIF
G,9,4,1,MFGTMP_220411120001/MFGTMP_220411120001_G09f04d1.TIF
D,9,8,2,MFGTMP_220411120001/MFGTMP_220411120001_D09f08d2.TIF
G,8,4,1,MFGTMP_220411120001/MFGTMP_220411120001_G08f04d1.TIF
D,8,8,2,MFGTMP_220411120001/MFGTMP_220411120001_D08f08d2.TIF
F,7,3,2,MFGTMP_220411120001/MFGTMP_220411120001_F07f03d2.TIF
F,10,5,2,MFGTMP_220411120001/MFGTMP_220411120001_F10f05d2.TIF
B,4,3,4,MFGTMP_220411120001/MFGTMP_220411120001_B04f03d4.TIF
F,6,3,2,MFGTMP_220411120001/MFGTMP_220411120001_F06f03d2.TIF
F,11,5,2,MFGTMP_220411120001/MFGTMP_220411120001_F11f05d2.TIF
B,5,3,4,MFGTMP_220411120001/MFGTMP_220411120001_B05f03d4.TIF
D,2,8,1,MFGTMP_220411120001/MFGTMP_220411120001_D02f08d1.TIF
G,2,4,2,MFGTMP_220411120001/MFGTMP_220411120001_G02f04d2.TIF
D,3,8,1,MFGTMP_220411120001/MFGTMP_220411120001_D03f08d1.TIF
G,3,4,2,MFGTMP_220411120001/MFGTMP_220411120001_G03f04d2.TIF
G,4,1,3,MFGTMP_220411120001/MFGTMP_220411120001_G04f01d3.TIF
C,4,8,3,MFGTMP_220411120001/MFGTMP_220411120001_C04f08d3.TIF
G,5,1,3,MFGTMP_220411120001/MFGTMP_220411120001_G05f01d3.TIF
C,5,8,3,MFGTMP_220411120001/MFGTMP_220411120001_C05f08d3.TIF
E,3,5,0,MFGTMP_220411120001/MFGTMP_220411120001_E03f05d0.TIF
B,3,0,3,MFGTMP_220411120001/MFGTMP_220411120001_B03f00d3.TIF
B,2,0,3,MFGTMP_220411120001/MFGTMP_220411120001_B02f00d3.TIF
E,2,5,0,MFGTMP_220411120001/MFGTMP_220411120001_E02f05d0.TIF
F,6,5,4,MFGTMP_220411120001/MFGTMP_220411120001_F06f05d4.TIF
F,11,3,4,MFGTMP_220411120001/MFGTMP_220411120001_F11f03d4.TIF
E,5,0,1,MFGTMP_220411120001/MFGTMP_220411120001_E05f00d1.TIF
B,5,5,2,MFGTMP_220411120001/MFGTMP_220411120001_B05f05d2.TIF
F,7,5,4,MFGTMP_220411120001/MFGTMP_220411120001_F07f05d4.TIF
F,10,3,4,MFGTMP_220411120001/MFGTMP_220411120001_F10f03d4.TIF
B,4,5,2,MFGTMP_220411120001/MFGTMP_220411120001_B04f05d2.TIF
E,4,0,1,MFGTMP_220411120001/MFGTMP_220411120001_E04f00d1.TIF
G,2,6,0,MFGTMP_220411120001/MFGTMP_220411120001_G02f06d0.TIF
B,9,4,4,MFGTMP_220411120001/MFGTMP_220411120001_B09f04d4.TIF
B,8,4,4,MFGTMP_220411120001/MFGTMP_220411120001_B08f04d4.TIF
G,3,6,0,MFGTMP_220411120001/MFGTMP_220411120001_G03f06d0.TIF
D,7,6,4,MFGTMP_220411120001/MFGTMP_220411120001_D07f06d4.TIF
D,10,0,4,MFGTMP_220411120001/MFGTMP_220411120001_D10f00d4.TIF
G,4,3,1,MFGTMP_220411120001/MFGTMP_220411120001_G04f03d1.TIF
D,6,6,4,MFGTMP_220411120001/MFGTMP_220411120001_D06f06d4.TIF
D,11,0,4,MFGTMP_220411120001/MFGTMP_220411120001_D11f00d4.TIF
G,5,3,1,MFGTMP_220411120001/MFGTMP_220411120001_G05f03d1.TIF
B,3,2,1,MFGTMP_220411120001/MFGTMP_220411120001_B03f02d1.TIF
E,3,7,2,MFGTMP_220411120001/MFGTMP_220411120001_E03f07d2.TIF
E,2,7,2,MFGTMP_220411120001/MFGTMP_220411120001_E02f07d2.TIF
B,2,2,1,MFGTMP_220411120001/MFGTMP_220411120001_B02f02d1.TIF
B,5,7,0,MFGTMP_220411120001/MFGTMP_220411120001_B05f07d0.TIF
E,5,2,3,MFGTMP_220411120001/MFGTMP_220411120001_E05f02d3.TIF
E,4,2,3,MFGTMP_220411120001/MFGTMP_220411120001_E04f02d3.TIF
B,4,7,0,MFGTMP_220411120001/MFGTMP_220411120001_B04f07d0.TIF
